ecotype_size,npop,omega,sigma,likelihood
6,4,0.00061,0.22658,0.14020
5,3,0.00556,0.28729,0.10340
1,2,0.00508,0.37403,0.027900
6,4,0.00160,0.56359,0.16520
9,5,0.00049,0.59020,0.19230
9,5,0.00013,0.54032,0.29460
9,5,0.00319,0.81699,0.15420
6,4,0.00005,0.17122,0.055200
9,5,0.00028,0.46176,0.12340
6,4,0.00036,0.37753,0.14090
6,4,0.00019,0.16954,0.10890
9,5,0.00000,1.48103,0.29920
6,4,0.00961,0.58186,0.14660
9,5,0.00251,0.79848,0.31940
5,3,0.00258,0.42412,0.052300
5,3,0.00206,0.32431,0.079200
5,3,0.00333,0.33490,0.067000
9,5,0.00000,0.06924,0.030400
9,5,0.00013,0.73523,0.13120
5,3,0.00311,0.49485,0.079600
6,4,0.00032,0.21907,0.13780
9,5,0.00239,0.96674,0.15010
9,5,0.00015,0.78773,0.22940
5,3,0.00083,0.42821,0.10970
5,3,0.00097,0.28670,0.078700
6,4,0.00121,0.38358,0.14270
6,4,0.00122,0.58361,0.10430
12,6,0.00004,0.88790,0.0012000
6,4,0.00026,0.22419,0.14330
9,5,0.00006,0.78098,0.23350
5,3,0.00230,0.32920,0.075400
5,3,0.00182,0.39096,0.087000
5,3,0.01571,0.74630,0.079000
5,3,0.00186,0.49843,0.076000
5,3,0.00096,0.27738,0.12500
9,5,0.00003,0.33083,0.093100
9,5,0.00081,0.71861,0.37130
5,3,0.00160,0.50060,0.062100
6,4,0.00062,0.18190,0.11850
5,3,0.00521,0.42348,0.058400
5,3,0.00070,0.44421,0.051500
5,3,0.00791,0.41564,0.096500
9,5,0.00014,0.31616,0.24720
5,3,0.00089,0.44214,0.056700
5,3,0.00233,0.49020,0.076700
6,4,0.00133,0.32442,0.18490
9,5,0.00139,0.70660,0.15450
9,5,0.01129,0.67845,0.18300
5,3,0.22575,0.77191,0.044900
5,3,0.00498,0.36168,0.10970
6,4,0.00048,0.21592,0.14290
9,5,0.00061,0.91404,0.22110
5,3,0.00680,0.40267,0.095300
6,4,0.00057,0.21889,0.13240
12,6,0.00014,0.86542,0.0095000
9,5,0.00014,0.83959,0.24090
9,5,0.00008,0.49602,0.17950
5,3,0.00249,0.50368,0.091500
5,3,0.00273,0.28005,0.12390
9,5,0.00296,1.47871,0.30960
9,5,0.00002,0.26433,0.068200
9,5,0.00088,0.95129,0.13370
6,4,0.00159,0.39767,0.14250
5,3,0.00038,0.33854,0.10100
5,3,0.00325,1.00781,0.037900
5,3,0.00149,0.37269,0.040100
5,3,0.00088,0.21112,0.10510
9,5,0.00700,0.26086,0.083100
5,3,0.00036,0.99073,0.079200
6,4,0.00033,0.15979,0.12940
6,4,0.00032,0.87213,0.10820
9,5,0.00014,0.43936,0.16210
5,3,0.00173,0.24254,0.11370
12,6,0.00064,1.69189,0.013500
6,4,0.00839,1.22995,0.16030
5,3,0.00148,0.36993,0.099200
9,5,0.00007,0.49683,0.11190
9,5,0.00006,0.77407,0.22920
9,5,0.00009,0.73960,0.25600
9,5,0.00152,0.70757,0.21720
9,5,0.00004,0.48388,0.17920
5,3,0.00345,0.28286,0.12380
9,5,0.00004,0.70748,0.24850
9,5,0.00425,0.56853,0.20040
5,3,0.01371,0.62716,0.057800
9,5,0.00073,1.34636,0.11440
5,3,0.00273,0.38508,0.085500
6,4,0.00016,0.21474,0.13450
9,5,0.00082,0.95206,0.15480
5,3,0.00406,0.39993,0.10220
5,3,0.09982,0.79628,0.047300
5,3,0.00041,0.96972,0.090100
9,5,0.02207,1.07995,0.20540
6,4,0.00022,0.19590,0.12000
9,5,0.00024,0.29169,0.079300
9,5,0.00058,0.47756,0.099700
5,3,0.00524,0.39021,0.10130
6,4,0.00626,1.09360,0.15420
5,3,0.00228,0.21791,0.093200
6,4,0.00034,0.23189,0.14240
6,4,0.00062,0.22530,0.15030
1,2,0.97657,0.99783,0.0028000
5,3,0.00041,0.20774,0.074100
5,3,0.00280,0.95860,0.029800
1,2,0.00478,0.32046,0.033100
5,3,0.00117,0.25632,0.058300
5,3,0.00240,0.27281,0.12000
5,3,0.00214,0.32703,0.079300
9,5,0.00000,0.23082,0.13530
1,2,0.00124,0.80849,0.020500
6,4,0.00163,0.28191,0.16900
5,3,0.00152,0.61318,0.11810
5,3,0.94388,0.36255,0.029500
6,4,0.00081,0.22566,0.14320
9,5,0.00056,1.32794,0.32370
1,2,0.00209,0.27363,0.026400
6,4,0.00395,0.53312,0.17230
5,3,0.00127,0.23988,0.10590
5,3,0.00061,0.24854,0.063700
6,4,0.00036,0.23112,0.14380
5,3,0.00168,0.42496,0.10780
9,5,0.00068,0.60487,0.19290
6,4,0.00001,0.18257,0.056200
6,4,0.00431,0.83336,0.17870
9,5,0.00099,0.66483,0.20910
6,4,0.00121,0.89767,0.12980
9,5,0.00002,0.49285,0.17570
6,4,0.00099,0.26965,0.15010
9,5,0.00061,0.98024,0.20240
9,5,0.00006,0.57524,0.31150
5,3,0.00350,0.33674,0.065100
5,3,0.00885,0.55372,0.092300
6,4,0.00018,0.34347,0.13480
6,4,0.00029,0.21725,0.12700
5,3,0.00480,0.36145,0.052000
9,5,0.00006,0.53139,0.19010
9,5,0.00000,0.08618,0.029500
6,4,0.01360,0.47893,0.16030
5,3,0.00162,0.36053,0.10520
9,5,0.00005,0.47026,0.16870
5,3,0.00032,0.25646,0.12250
9,5,0.00539,1.21099,0.26170
9,5,0.01006,0.53952,0.18240
5,3,0.00366,0.31938,0.078700
6,4,0.00017,0.39775,0.14350
6,4,0.00040,0.46029,0.14710
6,4,0.00216,0.54529,0.14150
6,4,0.00123,0.32718,0.12590
9,5,0.00001,0.62198,0.19540
6,4,0.00113,0.36891,0.14260
5,3,0.00039,0.98433,0.087800
6,4,0.00133,0.35359,0.11660
6,4,0.00329,0.49716,0.14870
5,3,0.00607,0.42722,0.10410
9,5,0.00065,0.90972,0.12850
9,5,0.00120,0.83386,0.31300
6,4,0.00093,0.42715,0.092800
5,3,0.00123,0.16296,0.12150
5,3,0.00179,0.13087,0.11470
5,3,0.00073,0.10913,0.12100
5,3,0.00195,0.20500,0.10600
5,3,0.00054,0.12904,0.11800
5,3,0.00177,0.19645,0.10100
5,3,0.00227,0.29458,0.12390
5,3,0.00220,0.18595,0.11690
5,3,0.00036,0.17795,0.13260
1,2,0.00177,0.23294,0.024300
5,3,0.00070,0.10018,0.00010000
5,3,0.00065,0.19429,0.11150
5,3,0.00036,0.11752,0.11870
5,3,0.00166,0.19697,0.10380
5,3,0.00305,0.22945,0.10310
