ecotype_size,npop,omega,gene_numebr
9,5,0.00008,1
5,3,0.00249,1
5,3,0.00273,1
9,5,0.00296,1
9,5,0.00002,1
9,5,0.00088,1
6,4,0.00159,1
5,3,0.00038,1
5,3,0.00325,1
5,3,0.00149,1
5,3,0.00088,1
9,5,0.00700,1
5,3,0.00036,1
6,4,0.00033,1
6,4,0.00032,1
9,5,0.00014,1
5,3,0.00173,1
12,6,0.00064,1
6,4,0.00839,1
5,3,0.00148,1
9,5,0.00007,1
9,5,0.00006,1
9,5,0.00009,1
9,5,0.00152,1
9,5,0.00004,1
5,3,0.00345,1
9,5,0.00004,1
9,5,0.00425,1
5,3,0.01371,1
9,5,0.00073,1
5,3,0.00273,1
6,4,0.00016,1
9,5,0.00082,1
5,3,0.00406,1
5,3,0.09982,1
5,3,0.00041,1
9,5,0.02207,1
6,4,0.00022,1
9,5,0.00024,1
9,5,0.00058,1
5,3,0.00524,1
6,4,0.00626,1
5,3,0.00228,1
6,4,0.00034,1
6,4,0.00062,1
1,2,0.97657,1
5,3,0.00041,1
5,3,0.00280,1
1,2,0.00478,1
5,3,0.00117,1
5,3,0.00240,1
5,3,0.00214,1
9,5,0.00000,1
1,2,0.00124,1
6,4,0.00163,1
5,3,0.00152,1
5,3,0.94388,1
6,4,0.00081,1
9,5,0.00056,1
1,2,0.00209,1
6,4,0.00395,1
5,3,0.00127,1
5,3,0.00061,1
6,4,0.00036,1
5,3,0.00168,1
9,5,0.00068,1
6,4,0.00001,1
6,4,0.00431,1
9,5,0.00099,1
6,4,0.00121,1
9,5,0.00002,1
6,4,0.00099,1
9,5,0.00061,1
9,5,0.00006,1
5,3,0.00350,1
5,3,0.00885,1
6,4,0.00018,1
6,4,0.00029,1
5,3,0.00480,1
9,5,0.00006,1
9,5,0.00000,1
6,4,0.01360,1
5,3,0.00162,1
9,5,0.00005,1
5,3,0.00032,1
9,5,0.00539,1
9,5,0.01006,1
5,3,0.00366,1
6,4,0.00017,1
6,4,0.00040,1
6,4,0.00216,1
6,4,0.00123,1
9,5,0.00001,1
6,4,0.00113,1
5,3,0.00039,1
6,4,0.00133,1
6,4,0.00329,1
5,3,0.00607,1
9,5,0.00065,1
9,5,0.00120,1
6,4,0.00093,1
5,3,0.00123,1
5,3,0.00179,3
5,3,0.00073,3
5,3,0.00195,3
5,3,0.00054,3
5,3,0.00177,3
5,3,0.00227,3
5,3,0.00220,3
5,3,0.00036,3
1,2,0.00177,3
5,3,0.00070,3
5,3,0.00065,3
5,3,0.00036,3
5,3,0.00166,3
5,3,0.00305,3
5,3,0.00112,3
5,3,0.00043,3
5,3,0.00204,3
5,3,0.00111,3
9,5,0.01885,3
5,3,0.00194,3
5,3,0.00064,3
5,3,0.00046,3
5,3,0.00031,3
5,3,0.01548,3
5,3,0.00194,3
5,3,0.00172,3
5,3,0.00027,3
5,3,0.00103,3
5,3,0.00127,3
5,3,0.00187,3
5,3,0.00075,3
5,3,0.00164,3
5,3,0.00140,3
5,3,0.00119,3
5,3,0.00028,3
5,3,0.00043,3
5,3,0.00158,3
5,3,0.00163,3
5,3,0.00069,3
5,3,0.00072,3
5,3,0.00025,3
5,3,0.00182,3
5,3,0.00193,3
5,3,0.00064,3
5,3,0.00152,3
5,3,0.00199,3
5,3,0.00118,3
5,3,0.00211,3
5,3,0.00050,3
5,3,0.00091,3
