CBP_strain,ChrisName,LabName,Collection,Species,Soil_Type,Elevation,Lat_Degrees,Lat_Min,Lon_Degrees,Lon_Min,Date,Lat,Lon,calc_elevation,final_elevation
CBP-1672,TP601B-3a,TP6O1B-3a,TP6O1,atrophaeus,Opuntia,8169,36,13.725,117,4.118,26-May-10,36.22875,-117.0686333,8212.7,8169
CBP-1678,TP7bA-2,TP7bA-2,TP7bA,atrophaeus,Juniper,8800,36,13.106,117,4.271,25-May-10,36.21843333,-117.0711833,8828.1,8800
CBP-1681,TP8F2aA-2,TP8F2aA-2,TP8F2,atrophaeus,Free,9637,36,12.819,117,5.351,25-May-10,36.21365,-117.0891833,9655.3,9637
CBP-1682,TP8F3aB-2,TP8F3aB-2,TP8F3,atrophaeus,Free,9637,36,12.816,117,5.36,25-May-10,36.2136,-117.0893333,9652.4,9637
CBP-1684,TP8F3aB-7,TP8F3aB-7,TP8F3,atrophaeus,Free,9637,36,12.816,117,5.36,25-May-10,36.2136,-117.0893333,9652.4,9637
CBP-1687,TP8F4aA-14,TP8F4aA-14,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1688,TP8F4aA14m,TP8F4aA14m,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1689,TP8F4aA-4,TP8F4aA-4,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1690,TP8F4aA-5,TP8F4aA-5,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1691,TP8FaA-4,TP8FaA-4,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1692,TP8FaA-4m,TP8FaA-4m,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1724,WR203B-5,WR2O3B-5,WR2O3,atrophaeus,Opuntia,4070,36,25.465,117,11.43,27-May-10,36.42441667,-117.1905,4086.9,4070
CBP-1729,TP8F4aB-1,TP8F4aB-1,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1730,TP8F4aB-10,TP8F4aB-10,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1731,TP8F4aB-12,TP8F4aB-12,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1732,TP8F4aB-13,TP8F4aB-13,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1733,TP8F4aB-15,TP8F4aB-15,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1734,TP8F4aB-18,TP8F4aB-18,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1737,TP8F4aB-20,TP8F4aB-20,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1738,TP8F4aB-22,TP8F4aB-22,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1739,TP8F4aB-23,TP8F4aB-23,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1740,TP8F4aB-25,TP8F4aB-25,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1741,TP8F4aB-26,TP8F4aB-26,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1742,TP8F4aB-26m,TP8F4aB-26m,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1746,TP8F4bB-1,TP8F4bB-1,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1747,TP8F4bB-10,TP8F4bB-10,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1752,TP8F4bB-2,TP8F4bB-2,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-1760,TP8F5aB-4,TP8F5aB-4,TP8F5,atrophaeus,Free,9633,36,12.817,117,5.355,25-May-10,36.21361667,-117.08925,9653.9,9633
CBP-1762,TP8F5bB-3,TP8F5bB-3,TP8F5,atrophaeus,Free,9633,36,12.817,117,5.355,25-May-10,36.21361667,-117.08925,9653.9,9633
CBP-1767,TP8O1B-12,TP8O1B-12,TP8O1,atrophaeus,Opuntia,9644,36,12.834,117,5.353,25-May-10,36.2139,-117.0892167,9661.3,9644
CBP-1768,TP8O1B-13,TP8O1B-13,TP8O1,atrophaeus,Opuntia,9644,36,12.834,117,5.353,25-May-10,36.2139,-117.0892167,9661.3,9644
CBP-1769,TP8O1B-2,TP8O1B-2,TP8O1,atrophaeus,Opuntia,9644,36,12.834,117,5.353,25-May-10,36.2139,-117.0892167,9661.3,9644
CBP-1770,TP8O1B-4,TP8O1B-4,TP8O1,atrophaeus,Opuntia,9644,36,12.834,117,5.353,25-May-10,36.2139,-117.0892167,9661.3,9644
CBP-1771,TP8O1B-5,TP8O1B-5,TP8O1,atrophaeus,Opuntia,9644,36,12.834,117,5.353,25-May-10,36.2139,-117.0892167,9661.3,9644
CBP-1772,TP8O1B-6,TP8O1B-6,TP8O1,atrophaeus,Opuntia,9644,36,12.834,117,5.353,25-May-10,36.2139,-117.0892167,9661.3,9644
CBP-1773,TP8O1B-7,TP8O1B-7,TP8O1,atrophaeus,Opuntia,9644,36,12.834,117,5.353,25-May-10,36.2139,-117.0892167,9661.3,9644
CBP-1774,TP8O1B-8,TP8O1B-8,TP8O1,atrophaeus,Opuntia,9644,36,12.834,117,5.353,25-May-10,36.2139,-117.0892167,9661.3,9644
CBP-1776,TP8O3B-15,TP8O3B-15,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-1777,TP8O3B-8,TP8O3B-8,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-1786,TP8OB-21,TP8O3B-21,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-1789,TP8OB-23,TP8O3B-23,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-1790,TP8OB-24,TP8O3B-24,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-1791,TP8OB-24m,TP8O3B-24m,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-1792,TP8OB-25,TP8O3B-25,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-1795,TP8OB-27,TP8O3B-27,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-1796,TP8OB-28,TP8O3B-28,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-1797,TP8OB-3,TP8O3B-3,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-1800,TP8OB-6,TP8O3B-6,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-1801,TP8OB-7,TP8O3B-7,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-1803,TP8OB-9,TP8O3B-9,TP8O3,atrophaeus,Opuntia,9651,36,12.827,117,5.346,25-May-10,36.21378333,-117.0891,9660.1,9651
CBP-2062,CK3J3B-1,CK3J3B-1,CK3J3,atrophaeus,Juniper,5901,36,15.077,117,6.404,26-May-10,36.25128333,-117.1067333,5898.8,5901
CBP-2063,CK3J3B-2,CK3J3B-2,CK3J3,atrophaeus,Juniper,5901,36,15.077,117,6.404,26-May-10,36.25128333,-117.1067333,5898.8,5901
CBP-2064,CK3J3B-3,CK3J3B-3,CK3J3,atrophaeus,Juniper,5901,36,15.077,117,6.404,26-May-10,36.25128333,-117.1067333,5898.8,5901
CBP-2065,CK3J3B-4,CK3J3B-4,CK3J3,atrophaeus,Juniper,5901,36,15.077,117,6.404,26-May-10,36.25128333,-117.1067333,5898.8,5901
CBP-2066,CK3J3B-5,CK3J3B-5,CK3J3,atrophaeus,Juniper,5901,36,15.077,117,6.404,26-May-10,36.25128333,-117.1067333,5898.8,5901
CBP-2067,CK3J3B-6,CK3J3B-6,CK3J3,atrophaeus,Juniper,5901,36,15.077,117,6.404,26-May-10,36.25128333,-117.1067333,5898.8,5901
CBP-2068,CK3J3B-7,CK3J3B-7,CK3J3,atrophaeus,Juniper,5901,36,15.077,117,6.404,26-May-10,36.25128333,-117.1067333,5898.8,5901
CBP-2069,CK3J3B-8,CK3J3B-8,CK3J3,atrophaeus,Juniper,5901,36,15.077,117,6.404,26-May-10,36.25128333,-117.1067333,5898.8,5901
CBP-2071,CK3O1B-51B,CK3O1B-51B,CK3O1,atrophaeus,Opuntia,5767,36,15.1,117,6.591,26-May-10,36.25166667,-117.10985,5808.1,5767
CBP-2075,CK3O2A-13,CK3O2A-13,CK3O2,atrophaeus,Opuntia,5871,36,15.053,117,6.416,26-May-10,36.25088333,-117.1069333,5894.9,5871
CBP-2086,CK4F3A-52,CK4F3A-52,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-2087,CK4F3A-53,CK4F3A-53,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-2088,CK4F3A-54,CK4F3A-54,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-2089,CK4F3A-55,CK4F3A-55,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-2090,CK4F3A-56,CK4F3A-56,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-2091,CK4F3A-57,CK4F3A-57,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-2092,CK4F3A-58,CK4F3A-58,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-2093,CK4F3B-51,CK4F3B-51,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-2094,CK4F3B-52,CK4F3B-52,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-2095,CK4F3B-53,CK4F3B-53,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-2096,CK5O2B-1,CK5O2B-1,CK5O2,atrophaeus,Opuntia,7351,36,14.246,117,4.34,26-May-10,36.23743333,-117.0723333,7410.2,7351
CBP-2097,CK5O2B-2,CK5O2B-2,CK5O2,atrophaeus,Opuntia,7351,36,14.246,117,4.34,26-May-10,36.23743333,-117.0723333,7410.2,7351
CBP-2098,CK5O3B-13,CK5O3B-13,CK5O3,atrophaeus,Opuntia,7381,36,14.243,117,4.338,26-May-10,36.23738333,-117.0723,7413.7,7381
CBP-2099,CK5O3B-14,CK5O3B-14,CK5O3,atrophaeus,Opuntia,7381,36,14.243,117,4.338,26-May-10,36.23738333,-117.0723,7413.7,7381
CBP-2100,TP8F4aB-14,TP8F4aB-14,TP8F4,atrophaeus,Free,9635,36,12.813,117,5.369,25-May-10,36.21355,-117.0894833,9648.7,9635
CBP-2101,TP8F6bB-19,TP8F6bB-19,TP8F6,atrophaeus,Free,9633,36,12.822,117,5.344,25-May-10,36.2137,-117.0890667,9658.1,9633
CBP-2102,TP8F6bB-9,TP8F6bB-9,TP8F6,atrophaeus,Free,9633,36,12.822,117,5.344,25-May-10,36.2137,-117.0890667,9658.1,9633
CBP-2103,TP8F7aA-1,TP8F7aA-1,TP8F7,atrophaeus,Free,9627,36,12.818,117,5.342,25-May-10,36.21363333,-117.0890333,9656.9,9627
CBP-2105,TP8F7aA-3,TP8F7aA-3,TP8F7,atrophaeus,Free,9627,36,12.818,117,5.342,25-May-10,36.21363333,-117.0890333,9656.9,9627
CBP-2106,TP8F7aA-4,TP8F7aA-4,TP8F7,atrophaeus,Free,9627,36,12.818,117,5.342,25-May-10,36.21363333,-117.0890333,9656.9,9627
CBP-2107,TP8F7aA-5,TP8F7aA-5,TP8F7,atrophaeus,Free,9627,36,12.818,117,5.342,25-May-10,36.21363333,-117.0890333,9656.9,9627
CBP-2109,TP8F7aA-7,TP8F7aA-7,TP8F7,atrophaeus,Free,9627,36,12.818,117,5.342,25-May-10,36.21363333,-117.0890333,9656.9,9627
CBP-2110,TP8F7aA-8,TP8F7aA-8,TP8F7,atrophaeus,Free,9627,36,12.818,117,5.342,25-May-10,36.21363333,-117.0890333,9656.9,9627
CBP-2111,TP8F7aA-9,TP8F7aA-9,TP8F7,atrophaeus,Free,9627,36,12.818,117,5.342,25-May-10,36.21363333,-117.0890333,9656.9,9627
CBP-2329,N17A11,N17A11,N17A,atrophaeus,Free,-260,,,,,,,,,*
CBP-2330,N17A12,N17A12,N17A,atrophaeus,Free,-260,,,,,,,,,
CBP-2331,N17A2,N17A2,N17A,atrophaeus,Free,-260,,,,,,,,,
CBP-2384,N9C17,N9C17,N9C,atrophaeus,Free,-260,,,,,,,,,*
CBP-2387,N9C20,N9C20,N9C,atrophaeus,Free,-260,,,,,,,,,*
CBP-2462,T12B1,T12B1,T12B,atrophaeus,Free,-260,,,,,,,,,*
CBP-2465,T12C4,T12C4,T12C,atrophaeus,Free,-260,,,,,,,,,
CBP-2554,T8C1,T8C1,T8C,atrophaeus,Free,-260,,,,,,,,,
CBP-2555,T8C3,T8C3,T8C,atrophaeus,Free,-260,,,,,,,,,
CBP-2556,T8C4,T8C4,T8C,atrophaeus,Free,-260,,,,,,,,,
CBP-3049,TP10S1B-K2,TP10S1B-K2,TP10S1FREE,atrophaeus,Free,9635,36,12.849,117,5.338,17-May,36.21415,-117.0889667,9677.4,9635
CBP-3051,TP10O4N-26,TP10O4N-26,TP10O4,atrophaeus,Opuntia,9600,,,,,17-May,,,,9600
CBP-3053,TP10O1N-6,TP10O1N-6,TP10O1,atrophaeus,Opuntia,9600,,,,,17-May,,,,9600
CBP-3054,TP10O2N-24,TP10O2N-24,TP10O2,atrophaeus,Opuntia,9600,,,,,17-May,,,,9600
CBP-3055,TP10O4B-3,TP10O4B-3,TP10O4FREE,atrophaeus,Free,9600,,,,,,,,,9600
CBP-3056,TP10S1N-I5,TP10S1N-I5,TP10S1,atrophaeus,Sagebrush,9635,36,12.849,117,5.338,17-May,36.21415,-117.0889667,9677.4,9635
CBP-3057,TP10O2B-D5,TP10O2B-D5,TP10O2FREE,atrophaeus,Free,9600,,,,,,,,,9600
CBP-3058,TP10O2B-D4,TP10O2B-D4,TP10O2FREE,atrophaeus,Free,9600,,,,,,,,,9600
CBP-3059,TP10O2B-D16,TP10O2B-D16,TP10O2FREE,atrophaeus,Free,9600,,,,,,,,,9600
CBP-3060,TP10S1F-J2,TP10S1F-J2,TP10S1,atrophaeus,Sagebrush,9635,36,12.849,117,5.338,17-May,36.21415,-117.0889667,9677.4,9635
CBP-3061,TP10S1N-I7,TP10S1N-I7,TP10S1,atrophaeus,Sagebrush,9635,36,12.849,117,5.338,17-May,36.21415,-117.0889667,9677.4,9635
CBP-3062,TP10O1N-10,TP10O1N-10,TP10O1,atrophaeus,Opuntia,9600,,,,,17-May,,,,9600
CBP-3063,TP10O4N-G7,TP10O4N-G7,TP10O4,atrophaeus,Opuntia,9600,,,,,17-May,,,,9600
CBP-3064,EC49O5B-F7,EC49O5B-F7,EC49O5FREE,atrophaeus,Free,4900,,,,,17-May,,,,4900
CBP-3065,EC49O5B-F15,EC49O5B-F15,EC49O5FREE,atrophaeus,Opuntia,4900,,,,,,,,,4900
CBP-1641,CK301B-4,CK3O1B-4,CK3O1,inaquosorum,Opuntia,5767,36,15.1,117,6.591,26-May-10,36.25166667,-117.10985,5808.1,5767
CBP-1708,WR202A-1,WR2O2A-1,WR2O2,inaquosorum,Opuntia,4064,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1709,WR202A-1m,WR2O2A-1m,WR2O2,inaquosorum,Opuntia,4064,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1710,WR202A-2,WR2O2A-2,WR2O2,inaquosorum,Opuntia,4064,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1711,WR202A-3,WR2O2A-3,WR2O2,inaquosorum,Opuntia,4064,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1713,WR202B-2,WR2O2B-2,WR2O2,inaquosorum,Opuntia,4064,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1714,WR202B-2m,WR2O2B-2m,WR2O2,inaquosorum,Opuntia,4064,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1715,WR202B-3,WR2O2B-3,WR2O2,inaquosorum,Opuntia,4064,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1716,WR202B-4,WR2O2B-4,WR2O2,inaquosorum,Opuntia,4064,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1719,WR202B-6,WR2O2B-6,WR2O2,inaquosorum,Opuntia,4064,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1720,WR202B-6m,WR2O2B-6m,WR2O2,inaquosorum,Opuntia,4064,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1721,WR203A-1,WR2O3A-1,WR2O3,inaquosorum,Opuntia,4070,36,25.465,117,11.43,27-May-10,36.42441667,-117.1905,4086.9,4070
CBP-1722,WR203A-1m,WR2O3A-1m,WR2O3,inaquosorum,Opuntia,4070,36,25.465,117,11.43,27-May-10,36.42441667,-117.1905,4086.9,4070
CBP-1725,WR2FB-1,WR2F2B-1,WR2F2,inaquosorum,Free,4070,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1726,WR2FB-11a,WR2F2B-11a,WR2F2,inaquosorum,Free,4070,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1727,WR2FB-1F,WR2F2B-1F,WR2F2,inaquosorum,Free,4070,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1728,WR2FB-3,WR2F2B-3,WR2F2,inaquosorum,Free,4070,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1806,WR2F2B-11,WR2F2B-11,WR2F2,inaquosorum,Free,4070,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1807,WR2F2B-12,WR2F2B-12,WR2F2,inaquosorum,Free,4070,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1808,WR2F2B-13,WR2F2B-13,WR2F2,inaquosorum,Free,4070,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1809,WR2F2B-14,WR2F2B-14,WR2F2,inaquosorum,Free,4070,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1810,WR2F2B-14m,WR2F2B-14m,WR2F2,inaquosorum,Free,4070,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1815,WR2F2B-8,WR2F2B-8,WR2F2,inaquosorum,Free,4070,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1824,S10C-2,S10C-2,S10C,inaquosorum,Free,,36,17.089,116,53.541,,36.28481667,-116.89235,-247.8,-247.8
CBP-1825,S10C-3,S10C-3,S10C,inaquosorum,Free,,36,17.089,116,53.541,,36.28481667,-116.89235,-247.8,-247.8
CBP-1851,S4C-3,S4C-3,S4C,inaquosorum,Free,,36,17.095,116,53.455,,36.28491667,-116.8909167,-255.1,-255.1
CBP-1880,S8C-1I,S8C-1I,S8C,inaquosorum,Free,,36,17.094,116,53.523,,36.2849,-116.89205,-250.1,-250.1
CBP-1881,S8C-1II,S8C-1II,S8C,inaquosorum,Free,,36,17.094,116,53.523,,36.2849,-116.89205,-250.1,-250.1
CBP-1883,S8C-2II,S8C-2II,S8C,inaquosorum,Free,,36,17.094,116,53.523,,36.2849,-116.89205,-250.1,-250.1
CBP-1891,S9B-1,S9B-1,S9B,inaquosorum,Free,,36,17.092,116,53.53,,36.28486667,-116.8921667,-249.2,-249.2
CBP-1894,S9B-4,S9B-4,S9B,inaquosorum,Free,,36,17.092,116,53.53,,36.28486667,-116.8921667,-249.2,-249.2
CBP-1899,S10C11F,S10C11F,S10C,inaquosorum,Free,,36,17.089,116,53.541,,36.28481667,-116.89235,-247.8,-247.8
CBP-1900,S10C11M,S10C11M,S10C,inaquosorum,Free,,36,17.089,116,53.541,,36.28481667,-116.89235,-247.8,-247.8
CBP-1914,S11B3,S11B3,S11B,inaquosorum,Free,,36,17.092,116,53.555,,36.28486667,-116.8925833,-246.2,-246.2
CBP-1915,S11B4,S11B4,S11B,inaquosorum,Free,,36,17.092,116,53.555,,36.28486667,-116.8925833,-246.2,-246.2
CBP-1918,S11C2,S11C2,S11C,inaquosorum,Free,,36,17.092,116,53.555,,36.28486667,-116.8925833,-246.2,-246.2
CBP-1921,S11C5F,S11C5F,S11C,inaquosorum,Free,,36,17.092,116,53.555,,36.28486667,-116.8925833,-246.2,-246.2
CBP-2072,CK3O1B-53B,CK3O1B-53B,CK3O1,inaquosorum,Opuntia,5767,36,15.1,117,6.591,26-May-10,36.25166667,-117.10985,5808.1,5767
CBP-2073,CK3O2A-10,CK3O2A-10,CK3O2,inaquosorum,Opuntia,5871,36,15.053,117,6.416,26-May-10,36.25088333,-117.1069333,5894.9,5871
CBP-2074,CK3O2A-11,CK3O2A-11,CK3O2,inaquosorum,Opuntia,5871,36,15.053,117,6.416,26-May-10,36.25088333,-117.1069333,5894.9,5871
CBP-2078,CK3O2A-7,CK3O2A-7,CK3O2,inaquosorum,Opuntia,5871,36,15.053,117,6.416,26-May-10,36.25088333,-117.1069333,5894.9,5871
CBP-2079,CK3O2B-51A,CK3O2B-51A,CK3O2,inaquosorum,Opuntia,5871,36,15.053,117,6.416,26-May-10,36.25088333,-117.1069333,5894.9,5871
CBP-2082,CK3O2B-55B,CK3O2B-55B,CK3O2,inaquosorum,Opuntia,5871,36,15.053,117,6.416,26-May-10,36.25088333,-117.1069333,5894.9,5871
CBP-2083,CK3O2B-56B,CK3O2B-56B,CK3O2,inaquosorum,Opuntia,5871,36,15.053,117,6.416,26-May-10,36.25088333,-117.1069333,5894.9,5871
